,id,status_group
2569,59654,functional
12488,57634,functional
43352,51521,functional
19689,24627,non functional
59008,16353,functional
16406,18315,functional
37661,49274,functional
6501,61045,functional
9645,3337,functional
21903,24275,non functional
17166,49840,functional
48834,61917,functional needs repair
47312,66647,functional
16422,11180,non functional
46379,52727,non functional
1961,71515,functional
40420,25791,functional
41433,53872,functional
50267,6630,functional
47380,50911,functional
29288,14722,functional
14586,39932,functional
5312,57989,functional
25978,71826,non functional
24990,72108,non functional
54301,73349,non functional
22997,65329,functional
49531,45440,functional needs repair
55714,59973,non functional
9522,58197,functional
521,68495,functional
16393,65810,functional
32939,3588,non functional
24072,7492,functional
48366,7152,non functional
21362,44770,non functional
8212,31686,functional needs repair
9356,69041,functional
20361,63316,functional
14929,40290,functional
52331,9995,functional
14364,64249,functional
47892,18267,functional
11067,73721,non functional
41171,72876,functional
45106,3043,functional
23925,53072,functional
22158,10898,functional needs repair
36419,7829,functional
32428,32228,functional needs repair
48000,45789,functional
4983,54799,functional needs repair
32065,73554,non functional
150,65788,functional
48835,70366,functional
30474,61615,functional
19173,67197,functional
53364,73920,non functional
39235,58808,non functional
5967,42172,functional
59147,67158,functional
27032,54508,functional
4359,54207,functional
26511,2060,functional
19834,4447,functional
58562,67219,non functional
41386,73578,non functional
51197,54579,functional
31482,39132,functional
25322,45956,functional
21230,20826,non functional
23587,57200,functional
49862,72056,non functional
48922,29787,functional
38276,62248,non functional
21397,47279,functional
16937,33790,functional
39998,67768,non functional
9078,58755,functional
36008,2479,functional
6401,13660,functional
37361,44859,non functional
51133,44444,non functional
24736,6780,functional needs repair
40706,53200,functional needs repair
32895,40020,non functional
20696,34225,functional needs repair
13536,24784,non functional
32753,55562,non functional
3149,64877,functional
58924,10750,functional
32095,22650,functional
40244,7873,non functional
58409,16640,functional
41704,45036,functional
19024,723,functional
35364,821,functional
51209,12070,functional
5899,61555,non functional
33824,54659,functional
33350,24790,functional
47064,38984,non functional
44146,59956,non functional
25296,64463,non functional
27490,20196,functional
57769,10556,functional
28621,6576,functional
33326,25659,non functional
14109,44918,non functional
31786,55668,non functional
12693,5883,functional
2830,73947,functional
8423,8278,functional
36465,54467,functional needs repair
27615,71180,non functional
18473,32673,functional needs repair
8394,49837,non functional
26340,69628,functional
40477,22087,non functional
34018,24032,non functional
22100,9882,functional
50889,53923,non functional
53298,61635,functional
6194,40907,non functional
55356,62733,functional
51305,31775,functional
7064,71562,functional needs repair
21423,36213,functional
3247,68779,functional
50444,19682,functional
52375,35166,functional
13525,37298,functional
22138,57499,functional
3688,212,functional
16404,30800,functional
19555,51580,functional
13920,27787,functional
33749,13094,functional needs repair
49055,38531,functional
15725,30579,functional
45502,16690,functional
48087,20811,functional
38886,64451,non functional
30329,11842,non functional
52556,17825,functional needs repair
17818,73393,non functional
52068,72413,functional
27850,52312,functional
37717,4234,functional
12294,64923,functional
33362,65312,functional
30882,15043,functional
53110,38104,functional needs repair
6822,16320,functional needs repair
15307,2121,non functional
37421,35427,non functional
26399,1317,functional
22056,39755,functional
36866,21277,functional
17655,17446,non functional
50560,11079,non functional
32435,56561,functional
52974,59987,functional
10928,2558,functional
9600,19126,functional
1772,35008,functional needs repair
54478,69216,functional
25828,73848,non functional
21774,518,functional
44014,5495,functional
53115,12142,functional
833,60171,functional
4280,66244,functional
2098,67175,non functional
17440,54437,functional
37895,65872,functional
10771,34039,non functional
37210,55491,non functional
1395,29078,functional
36677,68197,functional
48959,13635,non functional
19908,2975,functional
48245,6257,non functional
30434,70426,functional
3410,62204,functional needs repair
41895,9597,functional
30820,69175,functional
24870,20076,functional
30488,53779,functional
9016,46508,non functional
53956,64486,functional
15072,67673,non functional
38491,59248,functional needs repair
8887,45163,non functional
42209,62308,functional
11622,37715,functional
736,13866,non functional
44752,72606,functional
55100,54530,functional
34853,64663,functional
47935,56350,non functional
41374,61627,functional
37937,36599,functional
42887,14201,functional needs repair
50466,64917,functional
26617,57560,non functional
17587,35539,functional needs repair
37071,55906,functional
46779,18099,non functional
29351,69935,functional
57177,27613,functional
5374,58711,functional
31759,8136,functional
19174,18837,non functional
54029,2171,functional
46923,39912,non functional
4773,21469,functional
16129,11097,functional
13498,37351,functional
41719,64444,functional
9209,13320,functional
27882,13194,non functional
19652,68673,functional
254,34877,functional
57695,43453,functional needs repair
31939,38315,functional
35215,46511,functional
44589,10600,functional needs repair
44937,49185,functional
6673,34134,functional needs repair
21835,47413,non functional
20531,27020,functional
26150,46253,non functional
20246,57976,functional
33665,24441,functional
50809,26547,non functional
17490,52758,functional needs repair
57497,24976,functional
47356,73767,non functional
48803,48259,functional
45446,48155,non functional
22176,25144,non functional
18992,31113,non functional
55961,34384,functional
5661,11817,functional
19002,62492,non functional
38760,5600,functional
29357,67246,functional
34051,16472,functional
52054,49615,non functional
6570,62976,functional
20362,5115,functional
55419,15576,non functional
58580,54300,non functional
46164,19976,functional
34959,49904,non functional
14021,31256,functional
37463,3216,functional
35217,15685,non functional
20834,19209,functional
8266,24879,non functional
32729,64054,functional needs repair
43964,71371,functional
44073,64983,non functional
11458,2117,non functional
20153,53327,non functional
46787,23796,non functional
49611,2935,functional needs repair
19451,70342,functional
7652,32847,functional
12198,64362,non functional
35157,46712,non functional
2143,4099,non functional
58613,49478,functional needs repair
31036,2569,non functional
16494,31688,non functional
7567,48538,functional
44867,58431,functional
39377,24624,non functional
13357,23450,non functional
16821,71408,functional
20602,28983,functional needs repair
37164,6565,non functional
53033,64943,functional
29448,2575,non functional
3651,18574,functional
44448,5969,functional
48830,8626,functional needs repair
2972,61246,functional
24827,44961,non functional
18422,1480,functional needs repair
21359,20600,non functional
38061,35834,functional
53151,45313,functional
35302,14356,functional
43970,20999,non functional
57804,66651,functional
23250,38857,functional
20289,70987,non functional
36800,62382,non functional
57136,6971,functional
54178,65156,functional
53308,14003,non functional
12348,7537,functional
43438,51171,functional
5966,73973,non functional
13180,49457,functional
48897,37297,non functional
18510,14426,functional
51733,2274,functional
26915,51018,functional
12574,7943,functional
47256,15642,functional
50720,17055,functional
23941,63838,functional
14001,27408,functional
26320,5381,functional
19758,446,non functional
9512,65338,non functional
393,39749,non functional
58393,20727,functional
57896,66118,functional
22089,39402,functional
43658,58593,functional
37333,12972,functional
39311,43906,non functional
44685,52829,functional
31931,26531,functional
25167,17746,functional
55746,64946,functional
28538,24340,non functional
17555,48260,non functional
58554,38702,functional
24984,57892,non functional
30619,72541,functional needs repair
8145,21471,functional needs repair
15821,31617,non functional
12760,58986,functional
46843,50545,functional
12461,15472,functional
41761,18914,functional
26591,54795,functional
57029,39743,functional
14859,59545,functional
6789,19593,functional
39353,37355,functional
6891,34989,functional
3537,8998,non functional
23035,47254,non functional
44257,59809,non functional
35900,58346,functional needs repair
14709,3318,functional
30852,31061,functional
41700,47813,non functional
14464,73207,functional
20434,65443,functional
52984,50779,non functional
56869,41298,functional
32776,48861,functional
54419,36815,functional
35383,17302,functional
37852,25112,functional
14249,9480,non functional
32665,61154,functional
33063,41479,non functional
12649,56294,non functional
18453,33201,functional
30660,7125,non functional
50377,521,functional needs repair
1660,759,non functional
56932,19212,functional
6715,4563,functional
230,61046,functional
20265,11618,non functional
27879,72015,non functional
27053,3241,non functional
38149,5319,functional
49851,43544,non functional
25221,3021,functional
1390,45875,functional
2563,46177,non functional
48923,56403,functional needs repair
44277,4174,functional
30144,16992,functional
34193,37826,functional
33906,20494,functional
49988,37412,non functional
11805,32917,functional
48970,596,non functional
18040,18126,functional
34713,65281,functional
56503,69903,functional
56742,21166,functional
5156,11877,functional
20034,16189,functional
5583,29523,non functional
18290,48670,non functional
28660,17972,functional
321,45415,functional needs repair
50883,37128,functional
57734,73725,functional
43072,56949,functional
31798,6200,non functional
18942,28797,functional
41182,54478,non functional
3226,67809,functional
31258,68988,non functional
36243,14792,functional
41144,43535,functional
58184,46678,non functional
23224,42666,non functional
24329,43853,functional
44354,11696,non functional
18236,24404,non functional
45073,67400,functional
50409,21731,non functional
55094,25724,non functional
36391,28103,non functional
5368,44162,functional
44493,21081,functional
34292,16209,functional
38015,26251,non functional
49933,36278,non functional
21310,73880,non functional
29729,11883,functional
9529,40783,non functional
15914,66351,functional
9701,6859,non functional
42970,24556,functional
32967,32610,functional
29452,59929,non functional
52642,34436,non functional
45079,9556,non functional
24848,39488,functional
43908,49332,functional needs repair
47368,10577,functional
25124,46217,functional
14611,5183,non functional
43709,19971,functional
23834,39344,non functional
1442,53230,non functional
53304,12130,functional
57505,53250,non functional
31298,7491,non functional
55226,31260,non functional
15564,65663,non functional
14048,23661,functional
11348,34514,non functional
4737,42399,functional
52953,47801,functional
41152,35913,functional
40617,48,functional
42260,22903,functional
37181,45148,functional
18766,32385,non functional
45198,31415,non functional
16388,50565,non functional
41256,22865,functional
56605,30708,non functional
10263,43057,functional
38199,23434,non functional
49039,49569,non functional
9971,60426,non functional
26099,18377,functional
30565,30092,functional
25697,38879,functional
1352,57826,functional
26770,44451,functional
28754,48135,non functional
31805,16452,functional
15063,59516,functional
29242,36679,functional
37703,35489,non functional
56092,46414,non functional
32354,49978,functional
9702,72685,non functional
15096,45122,functional
34073,64368,functional needs repair
19838,45478,functional
17723,38162,non functional
14834,15182,non functional
40816,2624,non functional
19412,58804,functional
41808,40725,functional needs repair
34720,67648,functional
55891,39,functional
17298,16158,functional
6175,72734,functional
36804,12569,functional
59040,45820,non functional
21005,41674,functional
35040,70281,non functional
36521,4296,functional
8084,46462,functional
20080,1631,non functional
52904,22208,functional
11918,36931,functional
57181,65901,functional needs repair
58145,43576,functional
2492,58592,functional
3047,45569,functional
13502,19150,non functional
26897,50194,non functional
31539,10756,functional
48371,69353,functional
25517,66264,functional
41235,72667,functional
24193,73462,functional needs repair
19766,23760,functional
22140,25661,functional
11987,24776,functional needs repair
26932,25883,non functional
17492,24875,non functional
44204,61972,non functional
9318,56535,functional
55129,46379,functional
29442,67410,non functional
46580,61116,functional
35789,45107,functional needs repair
32625,10506,functional
58095,53398,functional
40939,24951,functional
33120,32741,functional
17862,71283,functional
58128,2444,non functional
42997,58237,functional
32760,69056,functional
20545,10563,non functional
33840,8966,non functional
13418,49970,functional
30282,62797,non functional
47386,67012,functional
3585,26181,functional
19607,69540,non functional
8712,50268,functional
32473,22492,non functional
44141,19158,functional
4479,45516,non functional
3233,18772,functional
46451,21239,non functional
49518,15387,non functional
21537,29435,functional
12448,4898,functional
29621,53119,non functional
51231,49180,non functional
38845,60854,functional
51407,27980,non functional
18903,67576,functional
57999,49116,non functional
38807,67555,functional
12644,62832,non functional
46212,38672,functional
23678,2490,functional
46354,42710,functional
41229,45607,functional
29913,46297,functional
46284,48314,functional
20871,43891,functional
20193,44198,functional
4636,25060,functional
20536,58151,non functional
5923,11213,functional
32303,26490,functional needs repair
46652,32316,functional
52917,72953,functional needs repair
6858,35548,non functional
17898,23024,functional
21468,27602,non functional
32385,38486,functional
17544,63481,functional needs repair
38602,58106,functional
8222,6693,functional
9753,20415,functional
47896,14125,non functional
55174,16921,non functional
19505,69349,non functional
39602,54353,functional
36028,45000,functional needs repair
18623,6823,functional
24340,20317,non functional
7021,56826,functional
43582,48965,functional
3809,40941,non functional
14394,39965,functional
33907,23525,functional
27393,45672,functional
13612,42700,non functional
19935,10937,non functional
13057,16282,non functional
10644,71294,functional
30218,3175,functional
16465,67454,non functional
27798,65087,functional
54875,72745,functional
58348,54574,functional
39480,14367,functional
28666,191,functional
23102,2597,functional needs repair
55795,8838,functional
44772,21057,non functional
30107,10878,non functional
25759,59702,non functional
6278,26967,functional needs repair
55650,37397,functional
46978,46024,functional
54852,39165,functional
6723,71112,functional
11278,73551,functional
50242,59647,non functional
18802,64686,functional
35313,23416,functional
35411,33621,functional
3052,68582,functional
52831,31505,functional
19352,11592,functional
47103,19487,functional
10047,31431,functional needs repair
4871,34766,non functional
55992,59981,functional
17025,18392,non functional
42825,52193,functional
59313,5355,non functional
30253,45256,functional
47980,42851,functional
56111,32205,functional
39542,51993,non functional
31504,30357,functional
7933,22693,non functional
52074,53432,functional
49738,48524,functional
44371,22252,functional
4197,43945,functional
59010,70558,functional
53483,23623,non functional
10661,3515,functional
40614,12307,functional
6971,49962,non functional
31000,54198,functional
40131,10178,functional
34631,30042,functional
47091,34616,functional
49436,34765,functional
53728,56,functional needs repair
58903,18363,functional
17247,23435,functional
14174,9137,functional
21857,30202,functional
12901,41095,non functional
26484,66184,functional
23179,20252,non functional
50113,56278,non functional
9473,6383,non functional
34902,65635,non functional
9121,26393,functional
55229,19719,functional
40780,14691,functional
1724,121,functional
40796,18304,functional needs repair
20459,31618,functional needs repair
47936,5069,functional
32912,2209,non functional
31293,51791,functional
30979,8803,non functional
28547,18251,functional
58881,38743,non functional
19623,20638,non functional
14538,73817,functional
32540,65247,functional
4171,24669,functional
49692,63938,functional
45524,39415,non functional
2272,19797,non functional
28380,3488,functional
19986,4338,functional
58198,27838,non functional
45649,22853,functional
54555,42827,non functional
31122,68466,functional needs repair
1950,30958,functional needs repair
48563,27593,functional needs repair
4047,37873,non functional
13161,48946,functional
4625,42082,functional needs repair
32035,32326,non functional
30686,30857,functional
39009,10009,functional
20497,15270,non functional
9897,70803,functional
56817,52517,functional needs repair
19842,6366,functional
4271,4811,functional
7591,44971,functional
45092,52005,functional
16568,19590,non functional
52593,42904,functional
45729,64755,functional
5938,28380,functional
35014,54283,functional
21204,4507,non functional
243,24377,non functional
21050,73864,non functional
8787,13075,functional
54,9417,functional
28925,51768,functional needs repair
3763,16594,non functional
26045,2771,non functional
30539,14661,non functional
50871,48212,functional
31525,37953,functional
2502,39194,non functional
21252,59166,functional
30764,70226,functional
25792,33394,functional
34250,49384,non functional
58304,7605,functional
44884,35574,non functional
20466,29012,functional
46445,62470,functional
3912,18811,functional
49664,65276,functional
8043,56630,functional
3463,29809,functional
23413,58449,non functional
8461,4577,functional
48599,28891,functional
34917,18504,non functional
2966,23110,functional
24075,2885,functional
39590,61731,non functional
24697,25250,functional
38304,3439,functional
18110,33944,non functional
10957,59262,functional
35909,21807,non functional
7821,38172,non functional
59163,39004,functional
19165,5299,functional needs repair
36577,51231,non functional
35785,15381,non functional
48616,33225,functional
35888,3727,non functional
32138,2762,functional
30460,33564,non functional
9487,15621,functional needs repair
1441,24425,functional
8798,48680,functional
58083,72975,non functional
25428,26621,non functional
38794,32162,functional
3359,54095,non functional
46702,7728,non functional
23422,61915,functional
17062,38471,non functional
50441,20468,non functional
12222,72944,functional
34439,32777,non functional
50891,21117,functional
6259,70355,functional
27917,45721,functional
11280,60014,functional
51539,20089,non functional
41991,24115,non functional
52242,35408,functional
471,1030,non functional
49865,626,non functional
6418,41078,functional
16426,484,functional
50118,60969,functional
27273,20010,non functional
25956,60461,non functional
11077,37639,functional
18369,142,functional
4605,23701,non functional
16451,29851,non functional
50047,12039,functional
24207,66785,functional
38002,37441,non functional
35822,3459,functional
25890,27423,functional needs repair
17911,51069,functional
50334,14407,functional
58626,20442,non functional
55297,34279,functional
19539,56688,non functional
49940,25645,functional
5773,14758,non functional
29355,56374,functional
9993,23895,functional
10431,64893,functional
36815,62043,non functional
35759,42920,functional
46241,72829,non functional
13150,66897,functional
24251,16915,non functional
33078,7535,functional
17404,56920,non functional
57475,15311,non functional
51710,26462,functional
22592,46394,functional needs repair
5243,43707,non functional
58874,27538,functional
7271,15298,non functional
45513,21736,functional
19209,26880,functional needs repair
7285,64231,non functional
57540,41131,non functional
42817,69222,non functional
54563,25052,non functional
53721,29449,functional needs repair
17453,24743,functional
19599,61128,functional
23409,432,non functional
31382,38290,non functional
5672,70398,functional
30562,66183,functional needs repair
7552,61738,functional
18857,60967,functional
3915,29229,non functional
5735,68930,non functional
18442,26714,functional
50996,52290,functional
30880,4017,functional
22650,9967,non functional
45659,14988,functional needs repair
28837,50471,functional
12582,27032,functional
33203,66882,functional
18932,70702,non functional
22508,46193,functional
34848,4079,non functional
16852,6773,functional
12176,57181,functional
2230,15,non functional
18423,40898,non functional
52470,38355,non functional
42570,71249,non functional
2743,69528,functional
21605,70910,non functional
51456,4463,non functional
19508,58992,functional
2362,68828,non functional
44333,6386,functional
43624,5890,functional
44418,59941,non functional
24530,1066,non functional
52268,13860,non functional
6,19816,non functional
48587,63943,non functional
12487,39042,functional
40769,72379,functional needs repair
45382,12605,functional
46551,43998,functional
41019,53067,functional
29073,39670,functional
22288,56138,non functional
46753,12898,functional needs repair
15832,12158,functional
44980,37264,non functional
33877,56470,functional
17459,45790,functional needs repair
31771,19996,functional needs repair
25401,68230,functional
26106,47639,non functional
125,69525,non functional
27999,69444,non functional
43956,439,functional
51446,12694,functional
2458,51832,non functional
49083,42161,functional
45490,52511,functional
50704,65496,non functional
17542,58548,non functional
41561,41372,functional
24419,71728,functional
22410,25604,non functional
26991,57799,functional
47778,34669,functional
23070,60832,functional
47159,56592,functional
6579,42951,non functional
26560,59288,non functional
39863,28245,non functional
58492,41615,functional
53697,39030,functional
26817,51704,functional
442,59898,functional needs repair
47003,52557,non functional
57807,49622,non functional
50514,73117,non functional
2369,2566,non functional
3976,40975,functional
19723,38127,functional
13853,729,non functional
9812,29202,functional
14820,14469,functional
4027,27504,functional
7292,3491,non functional
37677,34670,functional
10923,43915,non functional
41067,41388,functional
49250,7147,functional needs repair
41858,60213,non functional
6089,32440,functional
2653,60500,non functional
13991,33382,non functional
41582,70051,functional
54695,69727,non functional
34786,33634,functional
6305,49441,functional
16283,13934,non functional
17489,13844,functional
57686,19096,functional
30213,28443,functional
53199,35002,functional
8960,28342,non functional
2094,43031,non functional
41944,50514,functional
35004,29137,functional
5993,6750,non functional
59047,51524,functional
44495,7592,functional needs repair
52495,33459,functional
8925,23377,non functional
8254,57897,functional
15075,33585,functional
30690,64796,functional
39719,11303,functional
26534,35372,non functional
36250,3428,non functional
4160,30394,non functional
2225,69095,functional
24275,22094,functional
10640,48654,functional
36443,30946,non functional
48394,53285,functional needs repair
18010,6066,functional
29888,13745,non functional
6881,37775,non functional
13344,33874,functional
20515,14421,functional
31414,4220,functional
46620,63052,functional
53972,65175,non functional
2742,18709,non functional
51439,15500,functional
35163,8655,non functional
35776,33161,functional
13075,57448,functional
32169,6389,non functional
39504,50229,non functional
27102,29702,functional
39259,56801,non functional
14822,14921,functional needs repair
21234,51707,functional
50205,67717,non functional
14217,23295,functional
7313,60714,functional
29823,40924,functional needs repair
59081,35142,non functional
58595,2713,functional
56600,7790,functional
23192,47306,functional
36034,30393,functional needs repair
51946,40384,non functional
15774,73622,functional
35629,53498,functional
17235,72457,functional
26427,37951,functional
58065,46451,functional
39821,53198,functional
10531,11212,non functional
30885,46290,non functional
51799,21991,functional
14176,13868,functional
10540,41697,functional
16946,179,functional needs repair
31055,72316,functional
20655,46296,non functional
18426,63726,non functional
53642,30562,functional
22964,67301,functional
53010,28547,non functional
51959,14889,non functional
42933,11914,functional
25586,5428,non functional
25785,11051,non functional
47535,48690,functional
31147,49558,non functional
31199,37108,functional
30825,44844,functional
50497,2090,non functional
49182,2938,functional
17919,39684,non functional
36431,32726,non functional
10468,44378,functional
37633,19909,non functional
30221,73160,functional
14798,29272,functional
19401,58147,non functional
1934,29700,functional
49703,49917,functional
1834,72859,functional
34216,73546,non functional
42395,15548,non functional
14888,17623,functional
38292,23743,non functional
8073,32879,non functional
6967,35479,non functional
294,74176,functional
49592,60271,functional
26246,72497,non functional
57406,88,functional needs repair
58547,2248,functional
32654,38113,non functional
24837,45181,non functional
41947,12648,functional
48900,56771,functional
437,29383,non functional
16437,10737,functional
50800,4649,non functional
27890,16089,non functional
31195,50404,non functional
22163,70307,non functional
16923,61783,non functional
13432,57678,non functional
15631,4602,non functional
32815,33089,functional
7935,57513,functional
33601,29331,non functional
25243,56620,non functional
39136,42503,non functional
20975,41411,functional needs repair
12042,9811,non functional
46423,72001,non functional
8825,41270,non functional
36613,7412,functional
40712,62715,functional
19360,69003,functional
19313,13659,non functional
19709,41059,non functional
51714,47609,functional
55930,72402,functional
47644,18490,functional
53770,52271,non functional
31203,50738,functional
24797,4266,non functional
28148,38547,non functional
50010,35643,non functional
46989,60687,functional
51822,55346,functional
44307,44497,functional
36225,72423,functional
11069,33266,non functional
18452,49181,non functional
35185,31483,non functional
2400,62454,functional
42229,11467,non functional
15120,26048,functional
52639,65686,non functional
19822,70024,functional
57350,3253,functional
32672,24163,non functional
11632,15097,non functional
23169,8847,functional
41405,41148,functional
4894,52013,functional
14480,32719,functional
35699,35476,functional
8642,39124,non functional
3153,69671,functional
12466,69127,functional
43201,40333,non functional
4461,7383,functional needs repair
24494,12429,functional
37100,31858,functional
18669,14395,functional
42839,54454,non functional
33044,39168,functional
45483,52020,non functional
50428,58636,functional
42786,44644,non functional
30087,18002,non functional
54294,34355,non functional
32289,64489,non functional
31126,23290,non functional
7135,68115,non functional
41339,5814,functional
53547,43360,functional
58059,2469,non functional
22869,17438,non functional
43948,12320,non functional
38183,31868,functional
48515,48787,functional
39412,10387,functional
14180,7814,functional
28881,53420,non functional
47422,37556,non functional
7717,48201,functional
33249,46996,functional
463,57970,functional
1193,66753,non functional
27332,57907,functional
31225,11421,functional
45950,22575,non functional
32104,62692,functional
48328,25761,functional
16943,35924,functional
37841,14340,non functional
22157,42480,functional needs repair
24979,10969,functional
49749,11116,non functional
17843,73743,functional
21400,5401,functional
34671,23269,non functional
46521,10362,functional
49326,42624,functional
50238,66700,functional
2068,1624,functional
1542,4392,functional needs repair
3700,33442,functional
56429,22024,functional
6397,66949,non functional
58225,43012,functional
14096,15663,non functional
42057,10702,non functional
56143,40041,functional
13146,39886,non functional
6643,36243,functional needs repair
3803,50875,non functional
1904,18044,functional
49673,10995,functional
13629,19112,functional
47510,72577,functional needs repair
20035,16770,functional
12097,18140,non functional
50897,25948,non functional
33997,26175,non functional
46424,36056,functional
37090,48392,functional
2401,58328,non functional
6390,19311,functional
10470,10928,functional
36713,59818,non functional
57784,1733,functional
32980,70469,non functional
59080,25135,functional needs repair
32399,61754,functional needs repair
2013,17217,non functional
19382,42753,functional
48660,54552,functional
47651,54790,functional
57956,49396,functional needs repair
48369,71573,functional
34024,14959,non functional
42516,62383,non functional
34171,47064,functional
49773,73876,non functional
5222,62888,functional
15787,36971,functional
50580,40159,non functional
49897,71557,non functional
30205,33686,functional needs repair
40106,16180,functional
14323,21957,functional
32605,64452,non functional
51894,45015,non functional
44461,50068,non functional
391,17041,non functional
42069,64578,functional
5589,14417,non functional
3821,34121,non functional
24113,67399,functional
20109,2504,functional
46666,29125,functional
6977,7093,non functional
15814,21063,functional
12691,36812,functional
22931,13342,functional needs repair
19156,27818,functional
42653,13248,non functional
35692,31173,non functional
22394,35367,functional
51464,6567,non functional
4910,42989,functional
12082,31439,functional
45187,17552,functional
19376,45925,non functional
20961,7667,functional
28425,39361,non functional
11430,7199,non functional
20004,1318,functional needs repair
41680,55699,non functional
50490,63487,functional
30412,16945,functional
11643,22300,functional needs repair
52012,35194,functional
22563,51653,functional
28071,20477,functional
4315,49930,functional needs repair
27727,11371,non functional
14455,57221,functional
29977,35243,functional
38800,1068,functional
5604,52600,non functional
56616,40655,functional
11434,67357,functional
53453,29569,functional
22965,50290,functional
32965,7905,non functional
17118,32194,non functional
46930,32558,functional
17853,20473,functional
25288,7649,functional
4511,44884,non functional
21273,54378,functional needs repair
39558,66887,non functional
37292,69722,functional
39097,71641,functional needs repair
58542,33297,functional
45273,20391,functional
51801,43660,non functional
2383,24993,non functional
9077,10623,non functional
20431,62109,functional
40508,20070,non functional
43538,41824,functional
37351,24046,non functional
9207,49722,non functional
37050,6217,non functional
28678,7097,non functional
22883,18959,functional
32110,53948,non functional
19808,14272,functional
30201,54640,functional
45298,53078,functional
46825,72437,functional
55575,58822,non functional
43281,13810,functional
24894,49080,non functional
7867,26161,non functional
58051,45132,non functional
4073,72792,non functional
32032,45207,functional
53531,11578,functional
20717,65030,functional
51886,42296,functional
9890,55512,functional
47650,58256,non functional
10574,28722,functional
17193,15487,functional
50120,8793,functional
44444,28952,functional
24013,32257,non functional
17488,39949,functional needs repair
32927,65911,non functional
43256,67061,functional
31096,8355,functional
6677,52043,functional
3523,61378,functional
57266,23421,functional
37250,9322,non functional
16750,14214,functional
52622,55283,non functional
34486,27615,non functional
35459,17654,functional
49652,12732,functional
2315,30243,functional
6097,44657,functional
42579,29434,functional
45683,49190,non functional
17895,66296,non functional
17335,31959,non functional
52064,64306,functional
37638,45774,non functional
36926,28441,functional
23379,54685,functional
23921,51151,non functional
8933,56196,functional
51336,44882,functional
15155,6422,functional
7469,54532,functional
37540,50507,functional
35237,25494,functional
10473,9672,functional needs repair
38946,73850,functional
20380,12652,non functional
2786,28064,functional
38893,30425,functional
7156,34365,functional
34039,34385,non functional
49629,7789,functional needs repair
22031,29414,functional
49130,8484,functional
46784,67784,non functional
8077,43202,functional
38818,50646,non functional
11016,8985,functional
52559,8874,functional
4573,40589,non functional
8115,56906,non functional
46898,14499,non functional
31057,19845,functional
54317,8256,non functional
24073,58438,functional
7211,48837,non functional
41876,42892,non functional
55427,60127,non functional
22415,25392,functional
46304,73726,non functional
22613,24259,non functional
8561,433,non functional
47314,31781,functional
561,11011,functional
17075,17558,non functional
53883,63539,functional
28525,69362,functional
6021,56483,functional
3061,59846,functional
1139,57162,non functional
56132,40901,non functional
28333,69807,non functional
9798,23079,functional
57258,17600,functional
30217,39135,functional
28408,29306,non functional
11553,39855,functional
15711,23959,non functional
28211,6336,functional
50827,824,functional
56619,60790,functional
56312,13102,functional
31941,26821,non functional
27210,63855,functional
40210,35283,non functional
12805,64342,non functional
28801,59966,non functional
22454,12798,non functional
17064,10522,functional
25393,32581,functional
402,9736,functional
12152,49903,non functional
55533,19272,non functional
30047,19284,non functional
50114,31860,functional
34467,48606,functional
47254,42052,non functional
35525,6220,functional
16558,47815,functional needs repair
47922,69937,functional
41244,32166,functional
43504,34377,non functional
34126,42362,non functional
37563,16126,non functional
8143,11102,functional
6135,66816,functional
37136,1017,functional
49838,72500,non functional
26962,50244,non functional
2954,18923,functional
8935,44708,non functional
27541,29531,non functional
41559,4170,functional
8010,26126,non functional
18184,46444,non functional
9193,25819,non functional
2493,66769,functional
24627,5643,functional
5209,11637,functional
56225,14984,functional
53946,6194,functional
45661,64413,functional
799,23732,functional
39446,31130,non functional
35213,48058,functional
24305,28072,functional
24141,58749,functional
2993,114,non functional
51964,64296,non functional
55862,26478,functional
14040,58677,functional
6992,59483,non functional
23505,55015,functional
12544,40691,functional
33813,12501,non functional
30622,58916,functional
51303,67750,functional
15754,30994,functional
17822,36085,non functional
34331,2858,functional
261,15815,non functional
10248,50853,non functional
52899,29638,non functional
18714,34509,functional
53786,13397,functional
2711,69262,non functional
57753,50130,functional
23096,20306,functional
20853,13414,non functional
21343,21323,functional
43929,25236,functional needs repair
10160,48350,non functional
24197,47367,non functional
46462,37886,non functional
13309,57879,functional
27365,32227,functional
33615,29400,non functional
19354,10728,functional
21480,8662,non functional
56877,6320,non functional
19692,64706,functional
55946,36363,functional
10651,32925,functional needs repair
35385,72161,non functional
6279,44047,functional
8366,38973,functional needs repair
47136,49926,functional
29660,42682,non functional
4200,42459,functional needs repair
13728,51159,non functional
49916,73658,functional
15749,17626,functional
36758,30269,functional needs repair
32801,15243,functional
43405,20118,functional needs repair
49707,27580,non functional
38187,38285,non functional
2659,9593,functional
54304,5500,functional needs repair
37559,20594,functional
24959,18032,functional
47324,60246,functional
4042,24294,functional
1825,25237,functional
11041,7991,non functional
13133,45328,functional
20032,73607,non functional
45869,32733,functional
4446,10583,non functional
31068,33875,non functional
40714,47474,non functional
48111,10444,non functional
21169,23538,non functional
40635,30072,non functional
32007,31766,functional needs repair
41246,35429,functional
32676,27865,functional
7512,72164,functional
56153,17748,functional
17759,35647,non functional
15959,25879,non functional
50734,59614,functional
